Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3861043,568.8072954,1391.166543,4107.29677,161.1639176,19.59177031,17.73599449,10.69849776,0.053804081,-1.373675998,4.027969482,2.357399019,4.598515728,6.278594108,3.208756666,4.618012508,4.277875539,5.989562361,2.497253079,7.768715481,4.281549998,5.345804418,3.366824642,2.30918243,1.213909905,0.268575077,2.150641898,2.787709514,1.065622639,1.806592702,6.900513659,7.98570197
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365052937,-3.259074622,-1.365583433,2.813675214,3.160612207,11.0593352,25.77639752,-15.36488955,-0.523560209,17.36842105,2.243589744,-0.962160294,1.469732765,1.405821712,-1.940890058,1.695361071,1.7482893,6.728780721,4.842555686,14.15276486
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,8.635282087,14.84548829,11.39877921,8.352613468,11.2726971,5.172482417,3.844239761,7.41125987,8.124940167,8.876444533,12.37059487,4.580706602,1.650479898,2.606401792,2.461299377,1.813233902,3.244587998,2.403363525,2.977184413,1.827288509,2.10990702,1.504215166,1.553300159,1.482588328,0.70180233,-0.864881446,1.539517125,4.461642573,0.407675597,3.734130166,4.380667355,1.836936307,1.47335735,13.7751221,2.102549094,-0.60967223,1.7783922,2.788170374,-0.46820131,0.312054499,1.460290123,0.718452311,0.800069552,4.913760578,6.498856196
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.222017745,-0.075571973,1.790183729,3.288161763,2.979837732,2.68389551,4.86779596,2.252601627,4.75318885,5.132597231,5.186266925,6.18906659,8.98231455,16.38006982,16.48930874,14.01969546,11.41765351,8.237521355,8.633629311,10.0167434,9.525083463,11.70897912,10.15840803,7.862706325,4.680506473,6.548474726,7.027104872,7.179787085,9.228228671,6.092179347,3.019084964,1.480173223,0.869228964,1.019985405,2.293177561,2.711397305,1.272847224,1.135606126,0.475401013,2.55075058,4.63071824,2.840306894,2.985619736,3.2322628,3.825509127,5.11538874,4.985979935,4.569822249,4.949160757,1.151858818,6.202098607,1.805164061,-0.163781511,1.404893098,-0.622921249,-0.655771897,3.651232809,1.878810435,3.463722736,2.113825441,3.078774164,7.123075723
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,5.087153717,3.340203214,3.678266121,3.183788219,5.321415449,3.122366081,3.247762568,2.838031951,2.733572877,6.45138989,6.204374575,7.599931595,8.045541911,9.502139514,6.457775892,5.624919435,5.198712148,5.993016616,4.114371171,5.580629168,6.716667662,5.355289417,3.472783369,4.949773408,2.962995804,2.950997015,2.436948188,1.526855442,2.964760556,2.999680609,3.641871531,3.479093295,2.757084639,2.524942619,1.813918193,0.986205502,1.266995537,0.441905227,0.256349694,1.364040914,1.947105394,1.145595667,1.307552579,1.73971885,2.537794158,1.892161069,2.221175867,1.956322281,1.889264178,0.873054962,1.833410245,2.054235685,1.62388807,2.175707237,2.300978667,1.848294698,1.005534159,1.838064448,1.60787623,2.719495162,2.068210099,5.297283734
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.54951267,1065.32923,747.1245201,1386.067398,545.6563523,26.41916294,9.242504441,-0.965133367,2.162141675,12.49277381,2.515010226,4.214386234,6.961465708,9.251965107,14.72349652,11.30121914,21.02932875,27.77745954,-18.84495729,13.54581679,22.52436114,2.882932954,0.445064509,-1.28499552,-8.849692569,14.67140025,16.17240031,12.18487696,-0.241307927,-7.395965827,21.58882419,37.24885911
Burundi,BDI,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,20.07743634,-3.567416453,4.6871493,5.417217575,-1.029363778,3.152033962,-5.317986172,3.05681315,5.361879835,5.184511807,1.380218946,4.290809971,5.510442471,12.45517764,21.08690579,8.074948246,14.30412561,12.50770522,26.13070761,16.38402436,-6.063315087,5.672021548,6.428548803,17.21619499,5.06883898,-4.257414238,-3.417795079,3.491222701,14.75718482,5.985561545,4.093140793,5.4017607,7.742645676,6.638445456,16.10271174,14.45311141,32.39778923,11.450556,14.95414026,38.9448932,13.71640679,1.027858574,11.94574864,13.14615933,18.84158948,2.845666334,8.273375629,24.21579374,10.45879653,8.561555164,8.364250198,14.29407168,7.953103999,5.305656028,21.31874702,0.973176442,11.44918261,-2.850859302,0.851867435,5.966502333,8.516719714,18.33172231
Belgium,BEL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.315468694,1.667691946,3.0257967,4.642426558,5.100712937,4.086014933,3.193430937,2.620289277,4.023826311,6.680472355,5.358217814,6.317819214,6.806986431,12.16834026,12.88972281,7.575263114,7.478059968,4.423250337,4.505241375,4.126596969,5.139196661,7.570416249,5.612850366,5.438717243,4.627742139,2.796781136,1.684110879,2.168989903,4.797457362,2.812403713,2.87662448,3.42452456,3.993231923,2.094304776,1.22076958,0.476619741,0.75762441,1.805643501,0.598897783,2.014617387,1.982802721,1.640007795,1.850088683,1.914990948,2.083074213,2.264707144,1.931721117,1.908845425,0.533179398,1.89207786,1.807299468,1.961119341,1.271258155,0.982645555,1.330386128,1.920850695,1.830272796,1.549831525,1.768097416,1.599491121,3.171981896,5.891717521
Benin,BEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.041435674,3.780561134,2.549041137,-0.363671992,2.057620464,1.136665599,0.14107243,3.273524953,3.454195524,5.047046938,1.573283773,5.317226077,4.822739941,14.92070991,14.24693576,14.03543002,5.17688681,12.33445896,13.00468582,10.18781986,7.468948265,16.14828402,4.746209743,1.953580958,-4.876981736,-3.604172582,3.028459853,-0.610506907,2.224934457,2.176596926,0.75662015,3.025134465,2.378321824,35.03011278,15.09945191,6.907293665,3.667509174,5.231604748,48.34254339,4.341055664,1.970285582,3.554213255,3.061704124,0.769711004,4.293664135,2.094317073,0.390153238,6.434152206,2.539692061,0.88088567,3.73308304,7.698908077,1.397298395,-0.247782654,0.851504261,0.683591111,-0.367897725,0.670447614,-0.397553793,2.878032289,1.618725067,4.13878
Burkina Faso,BFA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.900608241,2.01037157,5.147524754,1.812216581,-0.656072018,2.303116944,-4.411008404,-0.263878696,6.913154193,1.783427219,3.377475326,7.296645255,2.677858967,11.01470939,8.176155967,6.725505675,18.66197633,14.5323255,7.753525512,8.694368521,13.58461938,9.04651642,5.409316962,6.501085289,0.75706671,-6.345676865,1.237323168,3.4085566,4.831620412,1.81001542,-3.967780748,0.22705962,-1.441839783,14.63896188,6.769569038,0.348705151,1.55619985,7.940316031,17.39082451,-0.819773185,3.961552917,3.056986091,1.484728815,0.09064859,3.739385397,-0.662826822,2.492349183,9.159800437,2.40550487,3.779618728,6.738004807,5.823999488,-2.129171178,-0.620386926,-2.223954179,2.604299192,1.41629728,1.07396689,0.89666091,6.558335554,-0.161544913,5.888259542
